time,incidence_2,wastewater,measured_ww,logWW,ND,logWW_rep
75,58.54710257,5595.820892,3.143492164,3.747863805,3,3.747863805
76,50.43173248,4816.405668,3.277817164,3.682723059,3,3.682723059
77,43.44587507,4146.241485,3.488498808,3.617654593,2,3.079181246
78,37.43118009,3569.881771,3.566795046,3.552653833,3,3.552653833
79,32.25177412,3074.083255,3.511334845,3.487715625,2,3.079181246
80,27.79100495,2647.491378,3.292434397,3.422834554,2,3.079181246
81,23.94867206,2280.369317,3.382228379,3.358005189,2,3.079181246
82,20.63866768,1964.365291,2.920965241,3.293222252,1,3.079181246
83,17.78696503,1692.313186,3.243827666,3.228480738,3,3.228480738
84,15.32990086,1458.06198,2.575336322,3.163775985,2,3.079181246
85,13.21270748,1256.329939,2.436717052,3.09910371,3,3.09910371
86,11.38825684,1082.580049,2.536913926,3.034460019,1,3.079181246
87,9.815985171,932.9135707,3.702070978,2.969841411,0,3.079181246
88,8.460971285,803.9790857,3.081963498,2.905244751,2,3.079181246
89,7.293146189,692.8947291,2.424592932,2.840667258,3,2.840667258
90,6.286614748,597.1816678,3.707219688,2.776106467,2,3.079181246
91,5.419086361,514.707162,3.205205326,2.711560211,1,3.079181246
92,4.671370456,443.63604,3.080406276,2.64702682,1,3.079181246
93,4.026814201,382.388991,2.554128852,2.58250538,1,3.079181246
94,3.471223662,329.6043744,2.304065712,2.517992967,0,3.079181246
95,2.992316455,284.1111979,2.222853015,2.453488351,0,3.079181246
96,2.579498667,244.9010382,2.248484964,2.388990626,0,3.079181246
97,2.223646234,211.1051638,3.2876224,2.324498857,0,3.079181246
98,1.916894978,181.9752232,1.477735427,2.260012261,0,3.079181246
99,1.652467229,156.8664809,1.888250299,2.195530154,0,3.079181246
100,1.652467229,135.223426,1.940870708,2.131051935,0,3.079181246
101,1.652467229,120.7234579,2.265994038,2.081791667,0,3.079181246
102,1.652467229,111.0105563,1.887102329,2.045364279,0,3.079181246
103,1.652467229,104.5055862,2.903706764,2.019139506,0,3.079181246
104,1.652467229,100.1501531,1.705112472,2.000651618,0,3.079181246
105,1.652467229,97.23490632,1.814914203,1.9878222,0,3.079181246
106,1.652467229,95.28445042,1.694604776,1.979022033,0,3.079181246
107,1.652467229,93.98020128,2.273550569,1.973036371,0,3.079181246
108,1.652467229,93.10867683,2.277824734,1.968990155,0,3.079181246
109,1.652467229,92.52683706,2.540399848,1.966267716,0,3.079181246
110,1.652467229,92.13885207,2.21439828,1.964442797,0,3.079181246
111,1.652467229,91.88053048,2.785794645,1.963223494,0,3.079181246
112,1.652467229,91.70888256,2.620412964,1.962411402,0,3.079181246
113,1.652467229,91.59512499,2.55462531,1.96187236,0,3.079181246
114,1.652467229,91.51999264,1.570535077,1.961515977,0,3.079181246
115,1.652467229,91.4705966,2.18379798,1.961281512,0,3.079181246
116,1.652467229,91.43831861,2.567407367,1.961128232,0,3.079181246
117,1.652467229,91.41740014,1.157577252,1.961028866,0,3.079181246
118,0.66096104,91.403997,2.048241693,1.960965187,0,3.079181246
119,0.749055526,73.31770605,2.212220286,1.865208868,0,3.079181246
120,0.848898326,62.80076337,2.142750488,1.797964923,0,3.079181246
121,0.960277638,57.57184663,1.016558555,1.76021016,0,3.079181246
122,1.088681922,56.0978868,0.926627033,1.748946502,0,3.079181246
123,1.233625935,57.45131401,2.087443587,1.759299966,0,3.079181246
124,1.397824355,61.00151877,1.94116257,1.785340648,0,3.079181246
125,1.583883111,66.37529248,0.924404032,1.822006448,0,3.079181246
126,1.794692179,73.36979517,1.019188822,1.865517307,0,3.079181246
127,2.033540627,81.90197013,2.014280993,1.913294349,0,3.079181246
128,2.304152992,91.97611141,1.739446534,1.963675044,0,3.079181246
129,2.610746764,103.6630057,2.267869275,2.015623797,0,3.079181246
130,2.958097565,117.0869992,2.210461829,2.068508676,0,3.079181246
131,3.351612425,132.4185158,1.87827816,2.121948716,0,3.079181246
132,3.797412577,149.8703792,2.448863988,2.175715806,0,3.079181246
133,4.302426902,169.6968559,2.558513599,2.229673796,0,3.079181246
134,4.874497355,192.1947179,1.993676351,2.283741448,0,3.079181246
135,5.522497831,217.7058778,2.381459738,2.337870155,1,3.079181246
136,6.256468078,246.6213214,2.454101853,2.39203062,0,3.079181246
137,7.087007724,279.386186,2.241913021,2.446204929,0,3.079181246
138,8.028466738,316.4921162,2.422094001,2.500362896,1,3.079181246
139,9.094550392,358.5303097,3.126682932,2.554525876,2,3.079181246
140,10.30159181,406.1469425,2.597973463,2.608683188,0,3.079181246
141,11.66824826,460.0729565,2.941591693,2.662826706,1,3.079181246
142,13.21544028,521.1384887,2.476039025,2.716953149,0,3.079181246
143,14.96679524,590.2814354,2.391863437,2.771059125,2,3.079181246
144,16.94897489,668.562098,2.278956906,2.825141752,1,3.079181246
145,19.19204154,757.1756197,3.36437793,2.879196622,1,3.079181246
146,21.72987139,857.47213,2.661871503,2.933220013,0,3.079181246
147,24.60060927,970.9743029,3.410706816,2.987207736,1,3.079181246
148,27.84716947,1099.398296,3.056767572,3.041155059,2,3.079181246
149,31.51778486,1244.676928,3.202095951,3.095056639,0,3.079181246
150,35.66660543,1408.98522,3.102166555,3.148906438,1,3.079181246
